Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Ada, binary-trees,-1,103.2496338,77.21014404,0,9.470092773,2783,28.8,202904
Ada, binary-trees,-1,102.6309204,76.05718994,0,9.618041992,2844,28.2,202908
Ada, binary-trees,-1,102.9210815,76.93695068,0,9.476867676,2782,29.8,202900
Ada, binary-trees,-1,103.6987305,78.18200684,0,9.30279541,2738,29.8,202796
Ada, binary-trees,-1,104.2842407,77.47216797,0,9.556762695,2865,30.8,202912
Ada, binary-trees,-1,106.0988159,79.83544922,0,9.658081055,2804,31,203124
Ada, binary-trees,-1,104.1720581,78.28448486,0,9.409790039,2762,31.2,203196
Ada, binary-trees,-1,104.3850098,79.0098877,0,9.220031738,2711,31.8,202904
Ada, binary-trees,-1,103.2293701,76.87579346,0,9.523620605,2801,31.5,203020
Ada, binary-trees,-1,104.0896606,78.31414795,0,9.36920166,2750,30.5,203116
Ada, binary-trees,-1,104.6525269,79.22705078,0,9.222290039,2714,31,202908
Ada, binary-trees,-1,104.5449829,78.5859375,0,9.446838379,2758,31.2,203220
Ada, binary-trees,-1,103.2493896,76.81231689,0.000915527,9.63671875,2804,31,203092
Ada, binary-trees,-1,104.7142944,78.09588623,0,9.608703613,2822,31.5,202948
Ada, binary-trees,-1,104.9368286,78.94030762,0,9.452026367,2761,32,203140
Ada, binary-trees,-1,103.8060303,77.73931885,0,9.426757813,2770,31.8,202912
Ada, binary-trees,-1,106.6421509,79.36773682,0,9.685546875,2899,32.2,202960
Ada, binary-trees,-1,103.9445801,77.76483154,0.000854492,9.592895508,2783,31.2,202960
Ada, binary-trees,-1,105.7501831,78.18328857,0,9.817871094,2930,29.8,203204
Ada, binary-trees,-1,103.4016113,77.23522949,0,9.45501709,2777,30.8,202864
Ada, fannkuch-redux,-1,281.2019043,221.1376343,0,16.36047363,6772,34.5,5096
Ada, fannkuch-redux,-1,282.6046143,222.2509155,0,16.38946533,6782,35.2,5080
Ada, fannkuch-redux,-1,282.3344727,222.0540771,0.000915527,16.3918457,6783,34.5,5184
Ada, fannkuch-redux,-1,285.4355469,224.4641113,0,16.54644775,6842,34.8,4960
Ada, fannkuch-redux,-1,282.3757935,222.0847168,0,16.36297607,6772,34.8,5128
Ada, fannkuch-redux,-1,282.8648682,222.331665,0,16.43066406,6800,33.8,4900
Ada, fannkuch-redux,-1,283.1935425,222.6172485,0,16.42797852,6800,34.5,5152
Ada, fannkuch-redux,-1,283.5995483,223.0449829,0,16.40863037,6792,34.5,4884
Ada, fannkuch-redux,-1,281.7941284,221.4832153,0,16.35784912,6770,33.8,5116
Ada, fannkuch-redux,-1,283.2376709,222.7797241,0.000915527,16.43060303,6800,34.2,5076
Ada, fannkuch-redux,-1,283.4751587,222.9439087,0,16.44018555,6804,34.5,5016
Ada, fannkuch-redux,-1,282.161438,221.9269409,0,16.30926514,6751,35,4888
Ada, fannkuch-redux,-1,283.2625732,222.7369995,0,16.42108154,6796,34.8,4932
Ada, fannkuch-redux,-1,283.4674683,222.8369141,0,16.41125488,6791,34.2,4844
Ada, fannkuch-redux,-1,281.9569092,221.7746582,0,16.32867432,6757,34.2,5016
Ada, fannkuch-redux,-1,283.7874146,223.201416,0.000915527,16.4263916,6797,34.8,4876
Ada, fannkuch-redux,-1,282.3643188,222.1299438,0,16.36077881,6770,35,4944
Ada, fannkuch-redux,-1,282.4974365,222.2168579,0,16.37017822,6774,35,4896
Ada, fannkuch-redux,-1,283.2996826,222.7446289,0,16.42803955,6799,34.2,4792
Ada, fannkuch-redux,-1,283.3535156,222.8272705,0,16.36987305,6775,34.8,5052
Ada, fasta,-1,44.92797852,21.77606201,0,6.018005371,2489,30.8,4172
Ada, fasta,-1,44.9541626,21.76940918,0,6.020446777,2491,30,4148
Ada, fasta,-1,44.91326904,21.76843262,0,6.008300781,2487,30.5,4036
Ada, fasta,-1,44.82403564,21.73046875,0,6.003356934,2484,30,4100
Ada, fasta,-1,44.88323975,21.746521,0,6.020324707,2491,30.8,4180
Ada, fasta,-1,44.89440918,21.74243164,0,6.020202637,2491,30.2,4344
Ada, fasta,-1,44.81011963,21.71124268,0,6.010498047,2486,29.8,4344
Ada, fasta,-1,45.07434082,21.83117676,0,6.051696777,2504,30,4072
Ada, fasta,-1,44.90618896,21.7354126,0,6.022644043,2492,30.2,4008
Ada, fasta,-1,44.91259766,21.76776123,0,6.017883301,2490,30.2,4228
Ada, fasta,-1,44.89837646,21.73846436,0,6.020202637,2492,30.2,4120
Ada, fasta,-1,44.89508057,21.73095703,0,6.017822266,2490,29,4344
Ada, fasta,-1,44.80834961,21.71380615,0,6.008239746,2486,29.8,4116
Ada, fasta,-1,44.85345459,21.72039795,0,6.015380859,2489,30.2,4032
Ada, fasta,-1,44.84490967,21.72949219,0,6.010681152,2488,30.2,4348
Ada, fasta,-1,44.87023926,21.73876953,0,6.01776123,2490,29.2,4352
